user_id,product_id,delivery_date,subscription_tier,returned,feedback_rating
477,387,2025-03-10,Premium,False,2.0
477,341,2025-03-10,Premium,True,
477,378,2025-03-10,Premium,True,
477,326,2025-03-10,Premium,True,
477,94,2025-03-10,Premium,False,1.0
379,175,2024-10-21,Premium,False,5.0
379,462,2024-10-21,Premium,False,5.0
379,360,2024-10-21,Premium,False,3.0
379,331,2024-10-21,Premium,True,
379,168,2024-10-21,Premium,True,
660,488,2024-10-22,Mid-range,False,5.0
660,149,2024-10-22,Mid-range,False,5.0
660,428,2024-10-22,Mid-range,False,3.0
660,191,2024-10-22,Mid-range,True,
90,476,2025-02-27,Mid-range,True,
90,444,2025-02-27,Mid-range,False,1.0
90,228,2025-02-27,Mid-range,True,
90,482,2025-02-27,Mid-range,False,5.0
638,316,2024-09-23,Budget,False,1.0
638,471,2024-09-23,Budget,False,3.0
638,257,2024-09-23,Budget,False,4.0
638,75,2024-09-23,Budget,True,
638,481,2024-09-23,Budget,False,3.0
777,460,2024-10-02,Budget,True,
777,402,2024-10-02,Budget,False,2.0
777,103,2024-10-02,Budget,True,
777,342,2024-10-02,Budget,False,1.0
777,107,2024-10-02,Budget,False,5.0
135,194,2024-12-15,Premium,False,5.0
135,144,2024-12-15,Premium,False,3.0
135,322,2024-12-15,Premium,False,4.0
557,357,2024-09-17,Mid-range,False,2.0
557,391,2024-09-17,Mid-range,False,5.0
557,112,2024-09-17,Mid-range,False,3.0
557,477,2024-09-17,Mid-range,False,2.0
557,389,2024-09-17,Mid-range,True,
765,470,2025-02-10,Budget,False,2.0
765,180,2025-02-10,Budget,False,5.0
765,463,2025-02-10,Budget,False,4.0
765,422,2025-02-10,Budget,False,3.0
765,404,2025-02-10,Budget,False,3.0
825,70,2025-01-10,Premium,False,4.0
825,57,2025-01-10,Premium,True,
825,4,2025-01-10,Premium,False,1.0
825,250,2025-01-10,Premium,True,
825,157,2025-01-10,Premium,False,3.0
820,225,2025-03-03,Budget,False,3.0
820,281,2025-03-03,Budget,True,
820,129,2025-03-03,Budget,False,4.0
368,259,2025-01-02,Budget,True,
368,101,2025-01-02,Budget,False,1.0
368,359,2025-01-02,Budget,False,3.0
368,295,2025-01-02,Budget,False,3.0
368,446,2025-01-02,Budget,True,
853,13,2024-11-23,Mid-range,False,1.0
853,392,2024-11-23,Mid-range,False,2.0
853,323,2024-11-23,Mid-range,False,3.0
853,311,2024-11-23,Mid-range,True,
853,167,2024-11-23,Mid-range,True,
407,9,2025-03-06,Budget,False,5.0
407,316,2025-03-06,Budget,False,4.0
407,120,2025-03-06,Budget,False,5.0
407,338,2025-03-06,Budget,True,
871,346,2024-10-31,Budget,False,4.0
871,62,2024-10-31,Budget,False,4.0
871,131,2024-10-31,Budget,False,1.0
881,144,2025-02-27,Premium,True,
881,188,2025-02-27,Premium,False,3.0
881,226,2025-02-27,Premium,False,2.0
25,310,2024-12-06,Premium,True,
25,430,2024-12-06,Premium,False,1.0
25,139,2024-12-06,Premium,False,2.0
25,68,2024-12-06,Premium,False,2.0
884,225,2024-12-07,Budget,False,4.0
884,500,2024-12-07,Budget,True,
884,66,2024-12-07,Budget,False,1.0
884,51,2024-12-07,Budget,True,
884,95,2024-12-07,Budget,False,2.0
623,176,2024-11-17,Mid-range,True,
623,211,2024-11-17,Mid-range,True,
623,436,2024-11-17,Mid-range,False,4.0
623,198,2024-11-17,Mid-range,False,5.0
585,9,2025-01-16,Budget,False,3.0
585,86,2025-01-16,Budget,False,1.0
585,267,2025-01-16,Budget,True,
585,151,2025-01-16,Budget,False,5.0
585,390,2025-01-16,Budget,False,5.0
871,34,2024-10-24,Budget,False,2.0
871,180,2024-10-24,Budget,False,2.0
871,408,2024-10-24,Budget,False,3.0
66,74,2024-11-06,Budget,False,5.0
66,414,2024-11-06,Budget,False,1.0
66,399,2024-11-06,Budget,False,5.0
66,163,2024-11-06,Budget,False,3.0
66,380,2024-11-06,Budget,True,
195,336,2025-01-14,Budget,False,2.0
195,256,2025-01-14,Budget,False,3.0
195,244,2025-01-14,Budget,False,3.0
853,335,2025-01-12,Mid-range,False,1.0
853,383,2025-01-12,Mid-range,False,1.0
853,147,2025-01-12,Mid-range,False,4.0
649,26,2024-12-10,Premium,True,
649,320,2024-12-10,Premium,False,2.0
649,184,2024-12-10,Premium,False,3.0
994,74,2025-02-05,Budget,False,2.0
994,429,2025-02-05,Budget,False,3.0
994,270,2025-02-05,Budget,False,3.0
994,366,2025-02-05,Budget,False,5.0
570,222,2024-10-24,Premium,False,5.0
570,113,2024-10-24,Premium,False,3.0
570,157,2024-10-24,Premium,False,2.0
570,250,2024-10-24,Premium,True,
570,169,2024-10-24,Premium,True,
172,401,2024-10-01,Budget,False,3.0
172,192,2024-10-01,Budget,False,4.0
172,316,2024-10-01,Budget,False,1.0
936,349,2024-12-28,Budget,False,1.0
936,225,2024-12-28,Budget,False,4.0
936,411,2024-12-28,Budget,False,1.0
936,189,2024-12-28,Budget,False,4.0
936,138,2024-12-28,Budget,True,
87,79,2024-10-19,Budget,True,
87,256,2024-10-19,Budget,False,3.0
87,160,2024-10-19,Budget,False,3.0
300,369,2024-12-10,Mid-range,False,2.0
300,296,2024-12-10,Mid-range,False,3.0
300,219,2024-12-10,Mid-range,False,5.0
300,357,2024-12-10,Mid-range,False,4.0
300,130,2024-12-10,Mid-range,False,5.0
559,89,2024-11-15,Budget,False,3.0
559,256,2024-11-15,Budget,False,5.0
559,354,2024-11-15,Budget,False,3.0
559,445,2024-11-15,Budget,False,4.0
559,267,2024-11-15,Budget,True,
772,451,2025-03-12,Budget,False,5.0
772,380,2025-03-12,Budget,False,2.0
772,86,2025-03-12,Budget,False,4.0
504,387,2025-03-04,Premium,False,1.0
504,36,2025-03-04,Premium,True,
504,227,2025-03-04,Premium,False,5.0
504,314,2025-03-04,Premium,False,1.0
97,276,2024-11-22,Budget,False,3.0
97,344,2024-11-22,Budget,False,5.0
97,303,2024-11-22,Budget,False,3.0
97,100,2024-11-22,Budget,False,2.0
582,252,2024-11-20,Budget,False,5.0
582,86,2024-11-20,Budget,True,
582,31,2024-11-20,Budget,False,2.0
582,485,2024-11-20,Budget,False,3.0
582,106,2024-11-20,Budget,False,1.0
347,469,2024-09-23,Mid-range,True,
347,143,2024-09-23,Mid-range,False,5.0
347,220,2024-09-23,Mid-range,False,5.0
890,244,2025-01-29,Budget,False,5.0
890,27,2025-01-29,Budget,True,
890,257,2025-01-29,Budget,False,5.0
890,243,2025-01-29,Budget,False,5.0
890,271,2025-01-29,Budget,False,4.0
183,309,2025-01-04,Budget,True,
183,329,2025-01-04,Budget,False,5.0
183,153,2025-01-04,Budget,False,3.0
183,16,2025-01-04,Budget,False,5.0
533,401,2024-10-08,Budget,True,
533,303,2024-10-08,Budget,False,5.0
533,142,2024-10-08,Budget,False,2.0
251,265,2024-10-21,Budget,False,1.0
251,236,2024-10-21,Budget,False,5.0
251,452,2024-10-21,Budget,False,2.0
251,418,2024-10-21,Budget,False,5.0
251,281,2024-10-21,Budget,False,2.0
585,418,2024-12-08,Budget,True,
585,496,2024-12-08,Budget,True,
585,394,2024-12-08,Budget,False,1.0
567,217,2024-12-01,Mid-range,False,3.0
567,158,2024-12-01,Mid-range,False,5.0
567,335,2024-12-01,Mid-range,True,
567,187,2024-12-01,Mid-range,False,4.0
567,21,2024-12-01,Mid-range,False,4.0
847,3,2024-12-24,Budget,False,3.0
847,500,2024-12-24,Budget,False,4.0
847,31,2024-12-24,Budget,True,
847,291,2024-12-24,Budget,False,1.0
847,305,2024-12-24,Budget,False,5.0
165,253,2024-10-16,Mid-range,False,3.0
165,251,2024-10-16,Mid-range,False,3.0
165,46,2024-10-16,Mid-range,False,4.0
165,421,2024-10-16,Mid-range,False,1.0
165,441,2024-10-16,Mid-range,False,1.0
416,420,2025-01-14,Premium,True,
416,19,2025-01-14,Premium,False,4.0
416,486,2025-01-14,Premium,False,3.0
491,288,2024-12-28,Mid-range,False,1.0
491,289,2024-12-28,Mid-range,False,4.0
491,436,2024-12-28,Mid-range,True,
491,253,2024-12-28,Mid-range,False,4.0
491,200,2024-12-28,Mid-range,False,4.0
86,223,2025-01-13,Budget,False,4.0
86,163,2025-01-13,Budget,True,
86,487,2025-01-13,Budget,False,3.0
276,388,2024-12-05,Mid-range,False,5.0
276,21,2024-12-05,Mid-range,False,4.0
276,152,2024-12-05,Mid-range,True,
276,77,2024-12-05,Mid-range,False,3.0
298,414,2024-10-26,Budget,False,2.0
298,133,2024-10-26,Budget,False,4.0
298,301,2024-10-26,Budget,True,
298,56,2024-10-26,Budget,False,4.0
991,88,2024-09-29,Budget,False,4.0
991,472,2024-09-29,Budget,False,3.0
991,10,2024-09-29,Budget,True,
973,181,2024-12-23,Premium,False,3.0
973,226,2024-12-23,Premium,False,1.0
973,157,2024-12-23,Premium,False,5.0
973,24,2024-12-23,Premium,False,2.0
973,320,2024-12-23,Premium,False,2.0
963,270,2024-10-18,Budget,False,5.0
963,377,2024-10-18,Budget,False,4.0
963,264,2024-10-18,Budget,False,3.0
169,258,2024-11-19,Budget,False,5.0
169,313,2024-11-19,Budget,False,1.0
169,95,2024-11-19,Budget,False,4.0
169,99,2024-11-19,Budget,True,
169,390,2024-11-19,Budget,False,2.0
88,59,2025-01-25,Premium,False,3.0
88,64,2025-01-25,Premium,True,
88,30,2025-01-25,Premium,False,1.0
88,60,2025-01-25,Premium,True,
88,68,2025-01-25,Premium,False,2.0
560,489,2024-10-01,Budget,True,
560,9,2024-10-01,Budget,False,3.0
560,120,2024-10-01,Budget,False,2.0
560,206,2024-10-01,Budget,False,1.0
538,65,2025-01-09,Premium,False,5.0
538,196,2025-01-09,Premium,True,
538,85,2025-01-09,Premium,False,3.0
538,157,2025-01-09,Premium,False,2.0
433,71,2025-02-13,Budget,False,1.0
433,5,2025-02-13,Budget,True,
433,89,2025-02-13,Budget,False,2.0
352,345,2025-01-07,Budget,False,3.0
